"","distance_from_border_type","distance_from_border","distance_to_station_type","distance_to_station"
"17","NON-CRIMINAL",0.19928230104505,"NON-CRIMINAL",0.179722731579856
"24","PUBLIC INDECENCY",0.286763962579069,"STALKING",0.264291781673124
"1","ARSON",0.333680012492567,"KIDNAPPING",0.267120796509395
"26","ROBBERY",0.339531975840901,"ARSON",0.273156727138912
"28","STALKING",0.347001188026533,"INTIMIDATION",0.280251920586508
"20","OFFENSE INVOLVING CHILDREN",0.347944710215667,"WEAPONS VIOLATION",0.284340877882001
"2","ASSAULT",0.351249145063391,"PUBLIC INDECENCY",0.285985030123759
"9","GAMBLING",0.352391667683418,"LIQUOR LAW VIOLATION",0.28618854646239
"11","INTERFERENCE WITH PUBLIC OFFICER",0.352541494954674,"NARCOTICS",0.287024624251199
"4","BURGLARY",0.352632953675485,"ROBBERY",0.287084895609585
"30","WEAPONS VIOLATION",0.352645211648937,"DECEPTIVE PRACTICE",0.287696721243916
"16","NARCOTICS",0.35324507949778,"OFFENSE INVOLVING CHILDREN",0.287978601853763
"14","LIQUOR LAW VIOLATION",0.353270879816294,"INTERFERENCE WITH PUBLIC OFFICER",0.288591164801242
"8","DECEPTIVE PRACTICE",0.353800109408038,"ASSAULT",0.290129878106203
"3","BATTERY",0.355584294559253,"BATTERY",0.291557941435228
"25","PUBLIC PEACE VIOLATION",0.35899893486739,"OTHER OFFENSE",0.292843845656944
"22","OTHER OFFENSE",0.35968533723419,"BURGLARY",0.294028969407808
"6","CRIMINAL DAMAGE",0.359746786126083,"CRIMINAL TRESPASS",0.294048867782743
"7","CRIMINAL TRESPASS",0.362122686622529,"PUBLIC PEACE VIOLATION",0.29431706339612
"29","THEFT",0.364999449828504,"CRIMINAL DAMAGE",0.295377473873124
"15","MOTOR VEHICLE THEFT",0.36525713884017,"MOTOR VEHICLE THEFT",0.299038533535116
"13","KIDNAPPING",0.366107480186541,"THEFT",0.302739395994374
"21","OTHER NARCOTIC VIOLATION",0.367864269877814,"SEX OFFENSE",0.303811565263073
"10","HOMICIDE",0.36961383712271,"CRIM SEXUAL ASSAULT",0.305319995460168
"5","CRIM SEXUAL ASSAULT",0.37085725156873,"HOMICIDE",0.306901917243121
"23","PROSTITUTION",0.374722984410019,"PROSTITUTION",0.326802191006145
"12","INTIMIDATION",0.379728833379336,"OBSCENITY",0.336891990751483
"27","SEX OFFENSE",0.381272162355045,"GAMBLING",0.339139311468704
"19","OBSCENITY",0.385294323922475,"NON-CRIMINAL (SUBJECT SPECIFIED)",0.372486305351377
"18","NON-CRIMINAL (SUBJECT SPECIFIED)",0.61650379209031,"OTHER NARCOTIC VIOLATION",0.450467556191715
